rank,game_id,match,pick,odds,units,confidence_pct,reason,predicted_score,bet_home_spread,bet_home_ml,bet_away_spread,bet_away_ml,bet_over,bet_under,home_money_line,away_money_line,tie_money_line,total_score,over_odds,under_odds,home_spread,home_spread_odds,away_spread,away_spread_odds,model,start_time,start_time_pt,timestamp,date
3,261722,Rockets vs Mavericks,Mavericks +12.5,-105,3,88,Quality underdog getting double digits. Historical pattern: underdogs +1.5 to +10.5 covered. Mavericks talented enough to keep within 12.,114-116,0,0,1,0,0,0,-672,500,,224.5,-115,-105,-12.5,-115,12.5,-105,claude,2025-11-04T01:00:00.000Z,2025-11-03 17:00:00-08:00,2025-11-03 20:00:00+00:00,2025-11-03
4,261725,Trail Blazers vs Lakers,Lakers +3.5,-115,3,87,Lakers catching points after +1.5 win vs Grizzlies. Public loves Lakers 67% tickets 78% money. Superior talent getting points.,113-116,0,0,0,1,0,0,-149,124,,236.5,-105,-110,-3.5,-105,3.5,-115,claude,2025-11-04T03:00:00.000Z,2025-11-03 19:00:00-08:00,2025-11-03 20:00:00+00:00,2025-11-03
5,261721,Celtics vs Jazz,Celtics -10.5,-115,2,83,Celtics at home vs rebuilding Jazz. Similar to Celtics ML win vs Pelicans. Jazz 1-7 brutal road trip. Talent differential massive.,122-109,1,0,0,0,0,0,-445,360,,233.5,-108,-110,-10.5,-115,10.5,-105,claude,2025-11-04T00:30:00.000Z,2025-11-03 16:30:00-08:00,2025-11-03 20:00:00+00:00,2025-11-03
6,261719,Pacers vs Bucks,Pacers +6.5,-115,2,81,Pacers at home getting points. Recent success with home underdogs. Pacers can score Bucks on road. Sharp fade of 72% public on Bucks.,119-121,1,0,0,0,0,0,187,-225,,235.5,-108,-110,6.5,-115,-6.5,-105,claude,2025-11-04T00:00:00.000Z,2025-11-03 16:00:00-08:00,2025-11-03 20:00:00+00:00,2025-11-03
7,281783,Clippers vs Heat,Heat +8.5,-115,2,78,Heat getting points on road similar to successful underdog pattern. Clippers -8.5 reasonable but Heat competitive. Slight fade value.,117-112,0,0,0,1,0,0,-325,260,,226.5,-105,-115,-8.5,-105,8.5,-115,claude,2025-11-04T03:30:00.000Z,2025-11-03 19:30:00-08:00,2025-11-03 20:00:00+00:00,2025-11-03
8,261723,Grizzlies vs Pistons,Pistons -4.5,-105,2,76,Pistons road favorite only 4.5 points. Grizzlies home struggling. Pistons improving public 76% on them. Small road favorite should control.,114-119,0,0,1,0,0,0,160,-185,,236.5,-105,-110,4.5,-115,-4.5,-105,claude,2025-11-04T01:00:00.000Z,2025-11-03 17:00:00-08:00,2025-11-03 20:00:00+00:00,2025-11-03
9,261718,Nets vs Timberwolves,Over 226.5,-115,2,74,Both teams can score. Nets weak defense on road. Wolves push pace at home. Total low for two offensive teams. Public 82% justified.,115-118,0,0,0,0,1,0,295,-375,,226.5,-115,-108,8.5,-105,-8.5,-115,claude,2025-11-04T00:00:00.000Z,2025-11-03 16:00:00-08:00,2025-11-03 20:00:00+00:00,2025-11-03
10,261719,Pacers vs Bucks,Over 235.5,-108,1,72,Two elite offenses. Pacers fastest pace in NBA. Bucks score in bunches. Both defenses vulnerable. 84% public on over shows sharp consensus.,123-119,0,0,0,0,1,0,187,-225,,235.5,-108,-110,6.5,-115,-6.5,-105,claude,2025-11-04T00:00:00.000Z,2025-11-03 16:00:00-08:00,2025-11-03 20:00:00+00:00,2025-11-03
1,261722,Rockets vs Mavericks,Mavericks +12.5,-115,3,92,Quality underdog pattern: Lakers +1.5 Kings +10.5 Mavericks +8.5 Warriors +2.5 all won. Dallas talented enough to stay within 12. Line moved back to -12.5 from -11.5 showing sharp action on Mavs.,113-115,0,0,1,0,0,0,-700,490,,225.5,-110,-110,-12.5,-105,12.5,-115,claude,2025-11-04T01:00:00.000Z,2025-11-03 17:00:00-08:00,2025-11-03 21:30:00+00:00,2025-11-03
2,261724,Nuggets vs Kings,Nuggets -11.5,-114,3,90,Jokic elite at home. Line moved from -12.5 to -11.5 creating better value. Nuggets ML -250 crushed Timberwolves. Kings weak on road. Sharp support evident.,123-110,1,0,0,0,0,0,-600,440,,236.5,-114,-109,-11.5,-114,11.5,-106,claude,2025-11-04T02:00:00.000Z,2025-11-03 18:00:00-08:00,2025-11-03 21:30:00+00:00,2025-11-03
3,261725,Trail Blazers vs Lakers,Lakers +8.5,-105,3,89,MAJOR LINE MOVEMENT: Opened -8.5 moved to -3.5 now back to -8.5. Lakers covered +1.5 and +4.5 vs Grizzlies. Quality team getting big points. Line volatility shows sharp disagreement.,109-115,0,0,0,1,0,0,-355,280,,227.5,-114,-110,-8.5,-115,8.5,-105,claude,2025-11-04T03:00:00.000Z,2025-11-03 19:00:00-08:00,2025-11-03 21:30:00+00:00,2025-11-03
4,261723,Grizzlies vs Pistons,Grizzlies +3.5,-115,3,87,Line moved from +4.5 to +3.5 showing action on Grizzlies. Pistons road favorites failed historically. Grizzlies home getting points fits winning pattern.,118-116,1,0,0,0,0,0,150,-180,,235.5,-110,-110,3.5,-105,-3.5,-115,claude,2025-11-04T01:00:00.000Z,2025-11-03 17:00:00-08:00,2025-11-03 21:30:00+00:00,2025-11-03
5,281783,Clippers vs Heat,Heat +7.5,-105,2,84,Line moved from +8.5 to +7.5. Quality underdog getting solid points. Heat competitive on road. Pattern of +6.5 to +8.5 dogs covering. Public split creates value.,111-115,0,0,0,1,0,0,-322,255,,226.5,-115,-105,-7.5,-115,7.5,-105,claude,2025-11-04T03:30:00.000Z,2025-11-03 19:30:00-08:00,2025-11-03 21:30:00+00:00,2025-11-03
6,261730,Warriors vs Suns,Warriors -10.5,-110,2,81,Warriors home vs depleted Suns. Large home favorite -10.5 fits winning pattern. Warriors -474 ML shows dominance. Public 94% on Warriors ML 96% on spread - rare justified consensus.,119-106,1,0,0,0,0,0,-474,365,,231.5,-110,-110,-10.5,-110,10.5,-110,claude,2025-11-05T03:00:00.000Z,2025-11-04 19:00:00-08:00,2025-11-03 21:30:00+00:00,2025-11-04
7,261729,Pelicans vs Hornets,Pelicans -1.5,-110,2,78,Small home favorite. Public heavy on Pelicans (77% ML 86% money). Hornets struggling. Small spread on home favorite fits Grizzlies -3.5 Suns -3.5 winning pattern.,116-112,1,0,0,0,0,0,-122,102,,234.5,-110,-110,-1.5,-110,1.5,-110,claude,2025-11-05T01:00:00.000Z,2025-11-04 17:00:00-08:00,2025-11-03 21:30:00+00:00,2025-11-04
8,261722,Rockets vs Mavericks,Under 225.5,-110,2,76,Total moved from 227.5 to 225.5. Rockets elite defense. Both teams playing slower pace. Public 92% on over but line dropped - sharp money on under.,113-110,0,0,0,0,0,1,-700,490,,225.5,-110,-110,-12.5,-105,12.5,-115,claude,2025-11-04T01:00:00.000Z,2025-11-03 17:00:00-08:00,2025-11-03 21:30:00+00:00,2025-11-03
9,261731,Clippers vs Thunder,Thunder -3.5,-110,1,74,Thunder elite team getting small road number. Recent Thunder -15.5 won big. Small spread with quality road team acceptable. Public will load Clippers at home - fade value.,108-111,0,0,1,0,0,0,140,-166,,223.5,-110,-110,3.5,-110,-3.5,-110,claude,2025-11-05T04:00:00.000Z,2025-11-04 20:00:00-08:00,2025-11-03 21:30:00+00:00,2025-11-04
10,261726,Raptors vs Bucks,Bucks +2.5,-105,1,72,Quality underdog getting small points. Bucks +6.5 won vs Cavaliers. Line movement shows sharp action on Bucks. Public 59% on Raptors ML but Bucks getting points.,119-121,0,0,1,0,0,0,-151,127,,237.5,-110,-110,-2.5,-115,2.5,-105,claude,2025-11-05T00:30:00.000Z,2025-11-04 16:30:00-08:00,2025-11-03 21:30:00+00:00,2025-11-04
1,261731,Clippers vs Thunder,Thunder -7.5,-105,3,94,Massive line move +3.5 to -7.5 shows sharp money. Thunder elite road team. Recent Thunder -15.5 won. 87% public on Thunder. Away favorite with elite team.,108-118,0,0,1,0,0,0,237,-285,,221.5,-109,-112,7.5,-115,-7.5,-105,claude,2025-11-05T04:00:00.000Z,2025-11-04 20:00:00-08:00,2025-11-04 22:30:00+00:00,2025-11-04
2,261726,Raptors vs Bucks,Bucks +4.5,-114,3,91,Quality underdog pattern continues. Bucks +6.5 won vs Cavaliers. Lakers +3.5 Mavs +12.5 Pacers +6.5 Heat +8.5 all won. Road dog getting 4.5 points.,116-118,0,0,1,0,0,0,-180,150,,236.0,-110,-110,-4.5,-109,4.5,-114,claude,2025-11-05T00:30:00.000Z,2025-11-04 16:30:00-08:00,2025-11-04 22:30:00+00:00,2025-11-04
3,261728,Hawks vs Magic,Hawks +3.5,-110,3,89,HOME underdog getting points. Pattern: quality underdogs +3.5 to +8.5 crushing. Hawks at home competitive. Magic road favorite -3.5 fits fade spot.,116-113,1,0,0,0,0,0,136,-162,,229.5,-112,-108,3.5,-110,-3.5,-110,claude,2025-11-05T01:00:00.000Z,2025-11-04 17:00:00-08:00,2025-11-04 22:30:00+00:00,2025-11-04
4,261730,Warriors vs Suns,Warriors -11.5,-105,3,86,Elite home favorite vs depleted Suns. Line moved -10.5 to -11.5. Warriors -470 ML dominant. 90% public justified. Suns truly terrible unlike Jazz upset.,122-107,1,0,0,0,0,0,-470,360,,233.5,-110,-110,-11.5,-105,11.5,-115,claude,2025-11-05T03:00:00.000Z,2025-11-04 19:00:00-08:00,2025-11-04 22:30:00+00:00,2025-11-04
5,261727,Bulls vs 76ers,76ers +1.5,-118,2,83,Quality underdog small spread. Lakers +1.5 won pattern. 76ers getting points on road. Tight game take the points with quality team.,114-116,0,0,1,0,0,0,-115,-105,,239.5,-115,-109,-1.5,-102,1.5,-118,claude,2025-11-05T01:00:00.000Z,2025-11-04 17:00:00-08:00,2025-11-04 22:30:00+00:00,2025-11-04
6,261729,Pelicans vs Hornets,Pelicans -2.5,-112,2,80,Small home favorite. Knicks -12.5 won Suns -2.5 won pattern. Pelicans home getting 60% ML money. Hornets struggling badly.,118-113,1,0,0,0,0,0,-141,120,,236.5,-110,-110,-2.5,-112,2.5,-108,claude,2025-11-05T01:00:00.000Z,2025-11-04 17:00:00-08:00,2025-11-04 22:30:00+00:00,2025-11-04
7,261727,Bulls vs 76ers,Over 239.5,-115,2,77,Public 83% on over. Both teams score. Total moved up 238.5 to 239.5. Recent overs hitting pattern.,114-116,0,0,0,0,1,0,-115,-105,,239.5,-115,-109,-1.5,-102,1.5,-118,claude,2025-11-05T01:00:00.000Z,2025-11-04 17:00:00-08:00,2025-11-04 22:30:00+00:00,2025-11-04
8,261728,Hawks vs Magic,Over 229.5,-112,2,74,Public 87% on over with 87% money. Both teams offensive. Hawks home games high scoring.,119-116,0,0,0,0,1,0,136,-162,,229.5,-112,-108,3.5,-110,-3.5,-110,claude,2025-11-05T01:00:00.000Z,2025-11-04 17:00:00-08:00,2025-11-04 22:30:00+00:00,2025-11-04
9,261726,Raptors vs Bucks,Over 236.0,-110,1,72,Public 82% on over. Both teams uptempo. Total dropped from 237.5 creating value.,116-121,0,0,0,0,1,0,-180,150,,236.0,-110,-110,-4.5,-109,4.5,-114,claude,2025-11-05T00:30:00.000Z,2025-11-04 16:30:00-08:00,2025-11-04 22:30:00+00:00,2025-11-04
10,261730,Warriors vs Suns,Over 233.5,-110,1,70,Public 92% on over. Warriors score at home. Even blowout goes over with pace.,122-112,0,0,0,0,1,0,-470,360,,233.5,-110,-110,-11.5,-105,11.5,-115,claude,2025-11-05T03:00:00.000Z,2025-11-04 19:00:00-08:00,2025-11-04 22:30:00+00:00,2025-11-04
1,261737,Grizzlies vs Rockets,Rockets -7.5,-110,3,93,Rockets road favorite. Pattern: Thunder -7.5 won by 19. Grizzlies home undogs 0-2. Rockets elite defense. Public 91% on Rockets justified.,108-118,0,0,1,0,0,0,240,-290,,232.5,-110,-110,7.5,-110,-7.5,-110,claude,2025-11-06T01:00:00.000Z,2025-11-05 17:00:00-08:00,2025-11-05 20:00:00+00:00,2025-11-05
2,261741,Trail Blazers vs Thunder,Trail Blazers +4.5,-109,3,91,Home underdog +4.5 pattern. Hawks +3.5 won outright. Thunder on road B2B after big win. Blazers home getting points. Public only 13% creates massive value.,112-114,1,0,0,0,0,0,167,-202,,230.5,-105,-110,4.5,-109,-4.5,-112,claude,2025-11-06T03:00:00.000Z,2025-11-05 19:00:00-08:00,2025-11-05 20:00:00+00:00,2025-11-05
3,261736,Knicks vs Timberwolves,Timberwolves +3.5,-105,3,89,Quality road underdog +3.5. Pattern gold: Lakers +3.5 won Hawks +3.5 won Pacers +6.5 won. Wolves quality team getting points. Public split 60/40.,111-113,0,0,1,0,0,0,-166,141,,227.5,-114,-108,3.5,-105,-3.5,-115,claude,2025-11-06T00:30:00.000Z,2025-11-05 16:30:00-08:00,2025-11-05 20:00:00+00:00,2025-11-05
4,261732,Pistons vs Jazz,Jazz +10.5,-110,3,87,Quality road underdog +10.5. Pattern: Mavs +12.5 won Heat +8.5 won outright. Jazz competitive can cover 10.5. Pistons -10.5 overvalued at home.,114-108,0,0,1,0,0,0,-455,360,,232.5,-110,-110,-10.5,-110,10.5,-110,claude,2025-11-06T00:00:00.000Z,2025-11-05 16:00:00-08:00,2025-11-05 20:00:00+00:00,2025-11-05
5,261742,Lakers vs Spurs,Spurs +2.5,-110,2,84,Small road underdog. Lakers -2.5 small home fav fits but Spurs solid. Recent small dogs covering. Public 65% on Lakers creates line value on Spurs.,113-114,0,0,1,0,0,0,-135,114,,227.5,-112,-108,-2.5,-110,2.5,-110,claude,2025-11-06T03:00:00.000Z,2025-11-05 19:00:00-08:00,2025-11-05 20:00:00+00:00,2025-11-05
6,261739,Nuggets vs Heat,Heat +9.5,-110,2,81,Quality road underdog +9.5. Heat competitive. Pattern: road dogs +8.5 to +12.5 covering. Nuggets -9.5 at home but Heat can keep close.,118-113,0,0,1,0,0,0,-397,310,,241.5,-110,-110,-9.5,-110,9.5,-110,claude,2025-11-06T02:00:00.000Z,2025-11-05 18:00:00-08:00,2025-11-05 20:00:00+00:00,2025-11-05
7,261740,Kings vs Warriors,Warriors +2.5,-105,2,78,Warriors road dog +2.5. Recent Warriors +2.5 won vs Clippers. Quality team getting small points. Public 61% on Warriors shows sharp action.,111-113,0,0,1,0,0,0,-148,124,,225.5,-110,-110,-2.5,-115,2.5,-105,claude,2025-11-06T03:00:00.000Z,2025-11-05 19:00:00-08:00,2025-11-05 20:00:00+00:00,2025-11-05
8,261738,Mavericks vs Pelicans,Pelicans +7.5,-110,2,76,Quality road dog +7.5. Pelicans -2.5 won yesterday competitive team. Mavericks -7.5 at home but Pelicans can cover. Public 58% on Mavs.,116-112,0,0,1,0,0,0,-296,235,,227.5,-110,-110,-7.5,-110,7.5,-110,claude,2025-11-06T01:30:00.000Z,2025-11-05 17:30:00-08:00,2025-11-05 20:00:00+00:00,2025-11-05
9,261732,Pistons vs Jazz,Over 232.5,-110,1,73,Both teams can score. Public 84% on over. Recent overs hitting. Pistons home games high scoring. Jazz push pace.,114-120,0,0,0,0,1,0,-455,360,,232.5,-110,-110,-10.5,-110,10.5,-110,claude,2025-11-06T00:00:00.000Z,2025-11-05 16:00:00-08:00,2025-11-05 20:00:00+00:00,2025-11-05
10,261742,Lakers vs Spurs,Over 227.5,-112,1,71,Both teams offensive. Public 91% on over with 86% money. Lakers home games go over. Strong consensus.,117-116,0,0,0,0,1,0,-135,114,,227.5,-112,-108,-2.5,-110,2.5,-110,claude,2025-11-06T03:00:00.000Z,2025-11-05 19:00:00-08:00,2025-11-05 20:00:00+00:00,2025-11-05
1,261737,Grizzlies vs Rockets,Rockets -8.5,-105,3,93,Rockets road favorite. Thunder -7.5 won by 19. Grizzlies home dogs 0-2. Line moved to -8.5 showing sharp action. Public 92% on Rockets.,108-119,0,0,1,0,0,0,267,-335,,232.5,-110,-110,8.5,-115,-8.5,-105,claude,2025-11-06T01:00:00.000Z,2025-11-05 17:00:00-08:00,2025-11-05 21:00:00+00:00,2025-11-05
2,261741,Trail Blazers vs Thunder,Trail Blazers +3.5,-105,3,91,Home underdog +3.5. Hawks +3.5 won outright 127-112. Line moved from +4.5 to +3.5 but still value. Thunder B2B road. Public only 18% on Blazers creates contrarian value.,113-115,1,0,0,0,0,0,145,-172,,231.5,-108,-110,3.5,-105,-3.5,-115,claude,2025-11-06T03:00:00.000Z,2025-11-05 19:00:00-08:00,2025-11-05 21:00:00+00:00,2025-11-05
4,261732,Pistons vs Jazz,Jazz +9.5,-110,3,87,Quality road dog. Line moved from +10.5 to +9.5 showing sharp action on Jazz. Pattern: Mavs +12.5 Heat +8.5 covered. Jazz competitive team can stay within 10.,115-109,0,0,1,0,0,0,-452,350,,233.0,-110,-110,-9.5,-110,9.5,-110,claude,2025-11-06T00:00:00.000Z,2025-11-05 16:00:00-08:00,2025-11-05 21:00:00+00:00,2025-11-05
5,261742,Lakers vs Spurs,Spurs +1.5,-122,2,84,Small road dog. Line moved from +2.5 to +1.5 showing heavy sharp action on Spurs. Lakers -117 ML not confident. Spurs solid getting tiny points.,114-115,0,0,1,0,0,0,-117,-102,,227.5,-115,-114,-1.5,105,1.5,-122,claude,2025-11-06T03:00:00.000Z,2025-11-05 19:00:00-08:00,2025-11-05 21:00:00+00:00,2025-11-05
7,261738,Mavericks vs Pelicans,Pelicans +8.5,-114,2,78,Quality road dog. Line moved from +7.5 to +8.5 creating more value. Pelicans won -2.5 yesterday competitive team. Mavs -310 ML overvalued.,117-113,0,0,1,0,0,0,-310,255,,225.5,-115,-110,-8.5,-108,8.5,-114,claude,2025-11-06T01:30:00.000Z,2025-11-05 17:30:00-08:00,2025-11-05 21:00:00+00:00,2025-11-05
8,261740,Kings vs Warriors,Warriors +2.5,-109,2,76,Warriors road dog +2.5. Warriors +2.5 won vs Clippers. Line moved showing sharp action on Warriors. Public 68% on Warriors shows value.,110-112,0,0,1,0,0,0,-142,120,,223.5,-110,-110,-2.5,-112,2.5,-109,claude,2025-11-06T03:00:00.000Z,2025-11-05 19:00:00-08:00,2025-11-05 21:00:00+00:00,2025-11-05
9,261732,Pistons vs Jazz,Over 233.0,-110,1,73,Total moved up from 232.5 to 233.0. Public 85% on over. Both teams score. Pistons home high scoring. Jazz push pace.,115-120,0,0,0,0,1,0,-452,350,,233.0,-110,-110,-9.5,-110,9.5,-110,claude,2025-11-06T00:00:00.000Z,2025-11-05 16:00:00-08:00,2025-11-05 21:00:00+00:00,2025-11-05
1,261740,Kings vs Warriors,Kings -2.5,-112,2,86,"Warriors +2.5 holds majority spread tickets/money while Kings remain -2.5 with -112 juice, a contrarian home angle.",113-108,1,0,0,0,0,0,-142,120,,223.5,-110,-110,-2.5,-112,2.5,-109,claude,2025-11-06T03:00:00.000Z,2025-11-05 19:00:00-08:00,,2025-11-05
2,261736,Knicks vs Timberwolves,Knicks -3.5,-105,2,84,Away spread saw higher ticket/money share while the home -3.5 is discounted at -105.,116-110,1,0,0,0,0,0,-148,124,,227.5,-110,-110,-3.5,-105,3.5,-115,claude,2025-11-06T00:30:00.000Z,2025-11-05 16:30:00-08:00,,2025-11-05
3,261739,Nuggets vs Heat,Under 241.5,-110,2,83,Over is heavily bet up to 77% tickets; pricing on the under is steady at -110.,119-112,0,0,0,0,0,1,-395,310,,241.5,-109,-110,-9.5,-110,9.5,-110,claude,2025-11-06T02:00:00.000Z,2025-11-05 18:00:00-08:00,,2025-11-05
4,261734,Cavaliers vs 76ers,Cavaliers -11.5,-105,2,82,"Market leaned to 76ers +11.5 by tickets/money, creating value on the favorite at -105.",123-109,1,0,0,0,0,0,-459,350,,235.5,-106,-110,-11.5,-105,11.5,-115,claude,2025-11-06T00:00:00.000Z,2025-11-05 16:00:00-08:00,,2025-11-05
5,261733,Pacers vs Nets,Under 232.5,-110,2,81,Over drew ~75% tickets with under available at -110; siding with the contrarian total.,114-108,0,0,0,0,0,1,-262,212,,232.5,-114,-110,-6.5,-110,6.5,-110,claude,2025-11-06T00:00:00.000Z,2025-11-05 16:00:00-08:00,,2025-11-05
6,261741,Trail Blazers vs Thunder,Under 231.5,-110,2,80,Over interest was extreme (low 90s% tickets) while the under holds standard -110.,112-111,0,0,0,0,0,1,145,-172,,231.5,-108,-110,3.5,-105,-3.5,-115,claude,2025-11-06T03:00:00.000Z,2025-11-05 19:00:00-08:00,,2025-11-05
7,261732,Pistons vs Jazz,Pistons -9.5,-110,1,79,Dog spread took more tickets/money; favorite -9.5 at -110 with improving number from -10.5.,121-110,1,0,0,0,0,0,-452,350,,233.0,-110,-110,-9.5,-110,9.5,-110,claude,2025-11-06T00:00:00.000Z,2025-11-05 16:00:00-08:00,,2025-11-05
8,261742,Lakers vs Spurs,Lakers -1.5,105,1,78,Near pick’em MLs but home -1.5 available at plus odds 105.,114-111,1,0,0,0,0,0,-117,-102,,227.5,-115,-114,-1.5,105,1.5,-122,claude,2025-11-06T03:00:00.000Z,2025-11-05 19:00:00-08:00,,2025-11-05
1,261740,Kings vs Warriors,Kings -2.5,-112,2,86,"Warriors +2.5 holds majority spread tickets/money while Kings remain -2.5 with -112 juice, a contrarian home angle.",113-108,1,0,0,0,0,0,-142,120,,223.5,-110,-110,-2.5,-112,2.5,-109,perplexity,2025-11-06T03:00:00.000Z,2025-11-05 19:00:00-08:00,,2025-11-05
2,261736,Knicks vs Timberwolves,Knicks -3.5,-105,2,84,Away spread saw higher ticket/money share while the home -3.5 is discounted at -105.,116-110,1,0,0,0,0,0,-148,124,,227.5,-110,-110,-3.5,-105,3.5,-115,perplexity,2025-11-06T00:30:00.000Z,2025-11-05 16:30:00-08:00,,2025-11-05
3,261739,Nuggets vs Heat,Under 241.5,-110,2,83,Over is heavily bet up to 77% tickets; pricing on the under is steady at -110.,119-112,0,0,0,0,0,1,-395,310,,241.5,-109,-110,-9.5,-110,9.5,-110,perplexity,2025-11-06T02:00:00.000Z,2025-11-05 18:00:00-08:00,,2025-11-05
4,261734,Cavaliers vs 76ers,Cavaliers -11.5,-105,2,82,"Market leaned to 76ers +11.5 by tickets/money, creating value on the favorite at -105.",123-109,1,0,0,0,0,0,-459,350,,235.5,-106,-110,-11.5,-105,11.5,-115,perplexity,2025-11-06T00:00:00.000Z,2025-11-05 16:00:00-08:00,,2025-11-05
5,261733,Pacers vs Nets,Under 232.5,-110,2,81,Over drew ~75% tickets with under available at -110; siding with the contrarian total.,114-108,0,0,0,0,0,1,-262,212,,232.5,-114,-110,-6.5,-110,6.5,-110,perplexity,2025-11-06T00:00:00.000Z,2025-11-05 16:00:00-08:00,,2025-11-05
6,261741,Trail Blazers vs Thunder,Under 231.5,-110,2,80,Over interest was extreme (low 90s% tickets) while the under holds standard -110.,112-111,0,0,0,0,0,1,145,-172,,231.5,-108,-110,3.5,-105,-3.5,-115,perplexity,2025-11-06T03:00:00.000Z,2025-11-05 19:00:00-08:00,,2025-11-05
7,261732,Pistons vs Jazz,Pistons -9.5,-110,1,79,Dog spread took more tickets/money; favorite -9.5 at -110 with improving number from -10.5.,121-110,1,0,0,0,0,0,-452,350,,233.0,-110,-110,-9.5,-110,9.5,-110,perplexity,2025-11-06T00:00:00.000Z,2025-11-05 16:00:00-08:00,,2025-11-05
8,261742,Lakers vs Spurs,Lakers -1.5,105,1,78,Near pick’em MLs but home -1.5 available at plus odds 105.,114-111,1,0,0,0,0,0,-117,-102,,227.5,-115,-114,-1.5,105,1.5,-122,perplexity,2025-11-06T03:00:00.000Z,2025-11-05 19:00:00-08:00,,2025-11-05
1,261743,Suns vs Clippers,Clippers +3.5,-115,3,94,Quality road dog. Pattern strong: Trail Blazers +3.5 won Hawks +3.5 won Lakers +3.5 won. Line moved from Clippers -4.5 to +3.5 - 8 point swing shows sharp Clippers money.,110-113,0,0,1,0,0,0,-155,130,,224.5,-110,-110,-3.5,-105,3.5,-115,claude,2025-11-07T02:00:00.000Z,2025-11-06 18:00:00-08:00,2025-11-06 20:00:00+00:00,2025-11-06
2,261564,Timberwolves vs Jazz,Jazz +14.5,-115,3,91,Large dog pattern. Jazz competitive +14.5 huge cushion. Recent large dogs: Mavs +12.5 won Heat +8.5 won. Wolves -1050 ML overvalued. Public 69% on Jazz spread.,118-108,0,0,1,0,0,0,-1050,675,,229.5,-115,-105,-14.5,-105,14.5,-115,claude,2025-11-08T01:00:00.000Z,2025-11-07 17:00:00-08:00,2025-11-06 20:00:00+00:00,2025-11-07
3,261566,Grizzlies vs Mavericks,Mavericks +3.5,-110,3,89,Quality road dog +3.5. Pattern perfect: +3.5 dogs 3-1 recently. Mavs quality team. Line holding despite 58% public on Grizzlies. Sharp action on Mavs.,111-113,0,0,1,0,0,0,-162,136,,228.0,-110,-110,-3.5,-110,3.5,-110,claude,2025-11-08T01:00:00.000Z,2025-11-07 17:00:00-08:00,2025-11-06 20:00:00+00:00,2025-11-07
4,261563,Nets vs Pistons,Pistons -8.5,-110,3,87,Road favorite pattern. Rockets -8.5 won by 15 Thunder -7.5 won by 19. Pistons quality road team vs weak Nets. Public 68% on Pistons justified.,108-118,0,0,1,0,0,0,275,-345,,228.5,-105,-115,8.5,-110,-8.5,-110,claude,2025-11-08T00:30:00.000Z,2025-11-07 16:30:00-08:00,2025-11-06 20:00:00+00:00,2025-11-07
5,261567,Bucks vs Bulls,Bulls +4.5,-110,2,84,Quality dog small spread. Bulls competitive at home. Bucks on road inconsistent. Public 57% on Bulls shows value. Pattern: home dogs +3.5 to +4.5 working.,119-121,0,0,1,0,0,0,-192,160,,242.5,-105,-109,4.5,-110,-4.5,-110,claude,2025-11-08T01:00:00.000Z,2025-11-07 17:00:00-08:00,2025-11-06 20:00:00+00:00,2025-11-07
6,261561,Spurs vs Rockets,Rockets -2.0,-110,2,81,Small road favorite. Rockets -8.5 won by 15. Line moved from Rockets -1.5 to -2.0 showing confidence. Spurs home weak. Quality road team small spread.,112-116,0,0,1,0,0,0,110,-130,,226.5,-110,-110,2.0,-110,-2.0,-110,claude,2025-11-08T00:30:00.000Z,2025-11-07 16:30:00-08:00,2025-11-06 20:00:00+00:00,2025-11-07
7,261568,Nuggets vs Warriors,Warriors +5.5,-110,2,78,Quality road dog. Warriors +2.5 lost but pattern still strong for quality dogs. Line moved from Warriors +3.5 to +5.5 creating value. Nuggets -207 ML overpriced.,118-115,0,0,1,0,0,0,-207,171,,235.5,-115,-105,-5.5,-110,5.5,-110,claude,2025-11-08T03:00:00.000Z,2025-11-07 19:00:00-08:00,2025-11-06 20:00:00+00:00,2025-11-07
8,261569,Kings vs Thunder,Thunder -8.5,-110,2,76,Elite road favorite. Thunder -7.5 won by 19 Thunder -3.5 won by 19. Thunder crushing on road. Public 61% on Thunder spread shows respect.,109-120,0,0,1,0,0,0,305,-385,,227.0,-110,-110,8.5,-110,-8.5,-110,claude,2025-11-08T03:00:00.000Z,2025-11-07 19:00:00-08:00,2025-11-06 20:00:00+00:00,2025-11-07
9,261743,Suns vs Clippers,Under 224.5,-110,1,73,Defensive game expected. Clippers elite defense. Total dropped from 227.5 to 224.5. Public 88% on over but sharp money on under with line drop.,110-112,0,0,0,0,0,1,-155,130,,224.5,-110,-110,-3.5,-105,3.5,-115,claude,2025-11-07T02:00:00.000Z,2025-11-06 18:00:00-08:00,2025-11-06 20:00:00+00:00,2025-11-06
10,261565,Heat vs Hornets,Heat -6.5,-110,1,71,Small home favorite. Heat -6.5 at home vs weak Hornets. Public 81% on Heat spread 93% on Heat ML. Hornets 2-9 struggling badly.,118-108,1,0,0,0,0,0,-265,215,,238.5,-115,-109,-6.5,-110,6.5,-110,claude,2025-11-08T01:00:00.000Z,2025-11-07 17:00:00-08:00,2025-11-06 20:00:00+00:00,2025-11-07
1,261564,Timberwolves vs Jazz,Timberwolves -14.5,-105,2,86,Home favorite remains -14.5 at -105 while the dog takes interest; laying points with the superior side at current price.,124-105,1,0,0,0,0,0,-1050,675,,229.5,-115,-105,-14.5,-105,14.5,-115,perplexity,2025-11-08T01:00:00.000Z,2025-11-07 17:00:00-08:00,,2025-11-07
